oldname,name,band,seite
BVerfG_2002-07-17_S_2_BvR_1027_02_NA,Anwaltsdaten-EA,105,365
BVerfG_2002-06-27_S_2_BvF_0004_98_NA,Oberfinanzdirektionen,106,1
BVerfG_2002-10-09_S_1_BvR_1611_96_NA,Mithörvorrichtung,106,28
BVerfG_2002-10-10_S_2_BvK_0001_01_NA,Aktenvorlage-1,106,51
BVerfG_2002-10-24_S_2_BvF_0001_01_NA,Altenpflegegesetz,106,62
BVerfG_2002-10-29_S_1_BvL_0016_95_NA,Zählkindervorteil,106,166
BVerfG_2002-10-29_S_1_BvR_0525_99_NA,Facharztbezeichnungen,106,181
BVerfG_2002-10-30_S_1_BvL_0013_96_NA,LAG-Zinszuschlag,106,201
BVerfG_2002-10-31_S_1_BvF_0001_96_NA,LER-Verfahrenseinstellung,106,210
BVerfG_2002-10-31_S_1_BvR_0819_02_NA,SingularzulassungBGH,106,216
BVerfG_2002-11-07_S_2_BvR_1053_98_NA,BeihilfefähigkeitWahlleistungen-1,106,225
BVerfG_2002-11-07_S_2_BvF_0003_99_NA,BeihilfefähigkeitWahlleistungen-2,106,244
BVerfG_2002-12-03_S_2_BvE_0003_02_b,Zählverfahren-EA,106,253
BVerfG_2002-12-17_S_1_BvL_0028_95_NA,Arzneimittelfestbeträge,106,265
BVerfG_2002-12-18_S_2_BvF_0001_02_NA,Zuwanderungsgesetz,106,310
BVerfG_2003-01-14_S_1_BvQ_0051_02_NA,Beitragssatzsicherungsgesetz-ZahntechnischeLabore,106,351
BVerfG_2003-01-15_S_1_BvQ_0053_02_NA,Beitragssatzsicherungsgesetz-Apotheker,106,359
BVerfG_2003-01-15_S_1_BvQ_0054_02_NA,Beitragssatzsicherungsgesetz-GrosshandelArzneimittel,106,359
BVerfG_2002-11-19_S_2_BvR_0329_97_NA,Verwaltungsgemeinschaften,107,1
BVerfG_2002-12-04_S_2_BvR_0400_98_NA,DoppelteHaushaltsführung,107,27
BVerfG_2002-12-05_S_2_BvL_0005_98_NA,Lippeverband,107,59
BVerfG_2003-01-16_S_2_BvR_0716_01_NA,AnwesenheitJGG-Verfahren,107,104
BVerfG_2003-01-28_S_1_BvR_0487_01_NA,RechtsanwaltsgebührenOst,107,133
BVerfG_2003-01-29_S_1_BvL_0020_99_NA,Sorgeerklärungen,107,150
BVerfG_2003-02-11_S_1_BvR_1972_00_NA,Impfstoffversand,107,186
BVerfG_2003-02-12_S_1_BvR_0624_01_NA,Familienversicherung,107,205
BVerfG_2003-02-12_S_2_BvL_0003_00_NA,BeamtenbesoldungOst-1,107,218
